Genes,Ensembl_ID,Num_Probesets,Codewords,Annotation
Gad1,ENSMUSG00000070880,4,1,Lamp5 interneurons
Gad2,ENSMUSG00000026787,4,1,Lamp5 interneurons
Gadd45a,ENSMUSG00000036390,8,1,L6 CT CTX
Galnt14,ENSMUSG00000024064,8,1,L6 IT ENTl
Garnl3,ENSMUSG00000038860,8,1,L6 CT CTX
Gfap,ENSMUSG00000020932,4,1,Astrocytes
Gfra2,ENSMUSG00000022103,8,1,L4/5 IT CTX
Gjb2,ENSMUSG00000046352,8,1,VLMC
Gjc3,ENSMUSG00000056966,8,1,Oligodendrocytes
Gli3,ENSMUSG00000021318,7,1,Astrocytes
Gm19410,ENSMUSG00000109372,8,1,L5 PT CTX
Gm2115,ENSMUSG00000097789,8,1,SUB-ProS
Gng12,ENSMUSG00000036402,8,1,L6b CTX
Gpr17,ENSMUSG00000052229,8,1,Oligodendrocytes
Grik3,ENSMUSG00000001985,8,1,Meis2
Gsg1l,ENSMUSG00000046182,8,1,L2 IT ENTm
Gucy1a1,ENSMUSG00000033910,8,1,Pericytes / smooth muscle cells
Hapln1,ENSMUSG00000021613,8,1,Lamp5 interneurons
Hat1,ENSMUSG00000027018,8,1,CA3
Hpcal1,ENSMUSG00000071379,8,1,L3 IT ENT
Hs3st2,ENSMUSG00000046321,8,1,L5 IT CTX
Htr1f,ENSMUSG00000050783,8,1,Meis2
Id2,ENSMUSG00000020644,8,1,Astrocytes
Igf1,ENSMUSG00000020053,8,1,Vip interneurons
Igf2,ENSMUSG00000048583,8,1,VLMC
Igfbp4,ENSMUSG00000017493,8,1,CA2
Igfbp5,ENSMUSG00000026185,8,1,L3 IT ENT
Igfbp6,ENSMUSG00000023046,6,1,L2/3 IT CTX
Igsf21,ENSMUSG00000040972,8,1,L6b/CT ENT
Ikzf1,ENSMUSG00000018654,8,1,Microglia / perivascular macrophages
Inpp4b,ENSMUSG00000037940,8,1,Pericytes / smooth muscle cells
Kcnh5,ENSMUSG00000034402,8,1,L4/5 IT CTX
Kcnmb2,ENSMUSG00000037610,8,1,Pvalb interneurons
Kctd12,ENSMUSG00000098557,7,1,Sncg interneurons
Kctd8,ENSMUSG00000037653,8,1,Cajal-Retzius cells
Kdr,ENSMUSG00000062960,8,1,Endothelial cells
Lamp5,ENSMUSG00000027270,8,1,Lamp5 interneurons
Laptm5,ENSMUSG00000028581,8,1,Microglia / perivascular macrophages
Ly6a,ENSMUSG00000075602,8,1,Endothelial cells
Lypd6,ENSMUSG00000050447,8,1,Sst interneurons
Mapk4,ENSMUSG00000024558,8,1,Astrocytes
Mdga1,ENSMUSG00000043557,8,1,Car3
Mecom,ENSMUSG00000027684,8,1,Endothelial cells
Meis2,ENSMUSG00000027210,8,1,Meis2
Myl4,ENSMUSG00000061086,8,1,L5 NP CTX
Myo16,ENSMUSG00000039057,8,1,Meis2
Ndst3,ENSMUSG00000027977,8,1,L5 PPP
Ndst4,ENSMUSG00000027971,8,1,Sst Chodl inteneurons
Necab1,ENSMUSG00000040536,8,1,Sncg interneurons
Necab2,ENSMUSG00000031837,7,1,CA2
Nell1,ENSMUSG00000055409,8,1,L4 RSP-ACA
Neto2,ENSMUSG00000036902,8,1,L5 NP CTX
Neurod6,ENSMUSG00000037984,7,1,CA3
Nostrin,ENSMUSG00000034738,8,1,Endothelial cells
Npnt,ENSMUSG00000040998,8,1,L5 PT CTX
Npy2r,ENSMUSG00000028004,8,1,CA3
Nr2f2,ENSMUSG00000030551,8,1,Pericytes / smooth muscle cells
Nrep,ENSMUSG00000042834,8,1,L4 RSP-ACA
Nrn1,ENSMUSG00000039114,8,1,L2 IT ENTl
Nrp2,ENSMUSG00000025969,8,1,CA3
Nts,ENSMUSG00000019890,8,1,L5 PPP
Ntsr2,ENSMUSG00000020591,5,1,Astrocytes
Nwd2,ENSMUSG00000090061,8,1,L2 IT ENTm
Nxph3,ENSMUSG00000046719,8,1,NP SUB
Opalin,ENSMUSG00000050121,8,1,Oligodendrocytes
Opn3,ENSMUSG00000026525,8,1,L4 RSP-ACA
Orai2,ENSMUSG00000039747,8,1,Dentate gyrus granule cells
Paqr5,ENSMUSG00000032278,8,1,Endothelial cells
Parm1,ENSMUSG00000034981,8,1,L4 RSP-ACA
Pcsk5,ENSMUSG00000024713,8,1,NP PPP
Pde11a,ENSMUSG00000075270,8,1,Lamp5 interneurons
Pde7b,ENSMUSG00000019990,8,1,Astrocytes
Pdgfra,ENSMUSG00000029231,8,1,VLMC
Pdyn,ENSMUSG00000027400,7,1,Sst interneurons
Pdzd2,ENSMUSG00000022197,7,1,Cajal-Retzius cells
Pdzrn3,ENSMUSG00000035357,8,1,L4 RSP-ACA
Pecam1,ENSMUSG00000020717,8,1,Endothelial cells
Penk,ENSMUSG00000045573,8,1,Vip interneurons
Pglyrp1,ENSMUSG00000030413,5,1,Endothelial cells
Pip5k1b,ENSMUSG00000024867,8,1,Pericytes / smooth muscle cells
Pkib,ENSMUSG00000019876,8,1,L2 IT ENTl
Plch1,ENSMUSG00000036834,8,1,L3 IT ENT
Plcxd2,ENSMUSG00000087141,8,1,L5 NP CTX
Plcxd3,ENSMUSG00000049148,8,1,L2 IT ENTl
Plekha2,ENSMUSG00000031557,8,1,Pericytes / smooth muscle cells
Pln,ENSMUSG00000038583,8,1,Pericytes / smooth muscle cells
Pou3f1,ENSMUSG00000090125,4,1,L5 PPP
Ppp1r1b,ENSMUSG00000061718,8,1,L6 CT CTX
Prdm8,ENSMUSG00000035456,8,1,CA2
Prox1,ENSMUSG00000010175,8,1,Dentate gyrus granule cells
Prph,ENSMUSG00000023484,6,1,L4 RSP-ACA
Prr16,ENSMUSG00000073565,8,1,L5 NP CTX
Prss35,ENSMUSG00000033491,8,1,CT SUB
Pthlh,ENSMUSG00000048776,8,1,Vip interneurons
Pvalb,ENSMUSG00000005716,6,1,Pvalb interneurons
Rab3b,ENSMUSG00000003411,8,1,Sst interneurons
Rasgrf2,ENSMUSG00000021708,8,1,Lamp5 interneurons
Rasl10a,ENSMUSG00000034209,4,1,Dentate gyrus granule cells
Rbp4,ENSMUSG00000024990,8,1,Sst interneurons
Rfx4,ENSMUSG00000020037,8,1,Astrocytes
Rims3,ENSMUSG00000032890,8,1,L4/5 IT CTX
Rmst,ENSMUSG00000112117,8,1,CT SUB
Rnf152,ENSMUSG00000047496,8,1,L5 NP CTX
Ror1,ENSMUSG00000035305,8,1,VLMC
Rorb,ENSMUSG00000036192,8,1,Astrocytes
Rprm,ENSMUSG00000075334,8,1,L6 CT CTX
Rspo1,ENSMUSG00000028871,7,1,L4 RSP-ACA
Rspo2,ENSMUSG00000051920,8,1,L2 IT ENTm
Rxfp1,ENSMUSG00000034009,7,1,L5 PPP
Satb2,ENSMUSG00000038331,8,1,NP PPP
Sdk2,ENSMUSG00000041592,8,1,L6b CTX
Sema3a,ENSMUSG00000028883,8,1,L2 IT ENTl
Sema3d,ENSMUSG00000040254,8,1,Oligodendrocytes
Sema3e,ENSMUSG00000063531,8,1,Meis2
Sema5b,ENSMUSG00000052133,7,1,NP SUB
Sema6a,ENSMUSG00000019647,8,1,Oligodendrocytes
Shisa6,ENSMUSG00000053930,8,1,CA3
Siglech,ENSMUSG00000051504,8,1,Microglia / perivascular macrophages
Sipa1l3,ENSMUSG00000030583,8,1,CA1-ProS
Sla,ENSMUSG00000022372,8,1,Microglia / perivascular macrophages
Slc13a4,ENSMUSG00000029843,7,1,VLMC
Slc17a6,ENSMUSG00000030500,8,1,Cajal-Retzius cells
Slc17a7,ENSMUSG00000070570,2,1,L2 IT ENTl
Slc39a12,ENSMUSG00000036949,8,1,Astrocytes
Slc44a5,ENSMUSG00000028360,8,1,Sncg interneurons
Slc6a3,ENSMUSG00000021609,8,1,Meis2
Slfn5,ENSMUSG00000054404,8,1,Endothelial cells
Slit2,ENSMUSG00000031558,8,1,Pvalb interneurons
Sncg,ENSMUSG00000023064,6,1,Pericytes / smooth muscle cells
Sntb1,ENSMUSG00000060429,8,1,Pericytes / smooth muscle cells
Sorcs3,ENSMUSG00000063434,8,1,Vip interneurons
Sox10,ENSMUSG00000033006,8,1,Oligodendrocytes
Sox11,ENSMUSG00000063632,8,1,L6b/CT ENT
Sox17,ENSMUSG00000025902,8,1,Endothelial cells
Spag16,ENSMUSG00000053153,8,1,L6 IT ENTl
Spi1,ENSMUSG00000002111,8,1,Microglia / perivascular macrophages
Spp1,ENSMUSG00000029304,8,1,VLMC
Sst,ENSMUSG00000004366,2,1,Sst Chodl inteneurons
Stard5,ENSMUSG00000046027,7,1,NP SUB
Strip2,ENSMUSG00000039629,8,1,CA2
Syndig1,ENSMUSG00000074736,6,1,CA2
Syt17,ENSMUSG00000058420,8,1,L6 IT ENTl
Syt2,ENSMUSG00000026452,8,1,L5 PPP
Syt6,ENSMUSG00000027849,8,1,Meis2
Tacr1,ENSMUSG00000030043,8,1,Sst Chodl inteneurons
Tanc1,ENSMUSG00000035168,8,1,Dentate gyrus granule cells
Th,ENSMUSG00000000214,8,1,Meis2
Thsd7a,ENSMUSG00000032625,8,1,Vip interneurons
Tle4,ENSMUSG00000024642,8,1,NP PPP
Tmem132d,ENSMUSG00000034310,8,1,Car3
Tmem163,ENSMUSG00000026347,8,1,Cajal-Retzius cells
Tmem255a,ENSMUSG00000036502,8,1,L2/3 IT RHP
Tox,ENSMUSG00000041272,8,1,NP PPP
Trbc2,ENSMUSG00000076498,4,1,L6 CT CTX
Trem2,ENSMUSG00000023992,4,1,Microglia / perivascular macrophages
Trp73,ENSMUSG00000029026,8,1,Cajal-Retzius cells
Trpc4,ENSMUSG00000027748,7,1,SUB-ProS
Unc13c,ENSMUSG00000062151,8,1,L2 IT ENTm
Vat1l,ENSMUSG00000046844,8,1,L5 PPP
Vip,ENSMUSG00000019772,8,1,Vip interneurons
Vwc2l,ENSMUSG00000045648,8,1,NP SUB
Wfs1,ENSMUSG00000039474,8,1,CA1-ProS
Zfp366,ENSMUSG00000050919,8,1,Endothelial cells
Zfp536,ENSMUSG00000043456,8,1,Oligodendrocytes
Zfpm2,ENSMUSG00000022306,8,1,CT SUB
